sample id,data entry author,state,lab id,lab name,collection date,collection time (Pacific/Honolulu),stored collectionTime,tested by,site id,site name,latitude,longitude,water temperature (f),air temperature (f),current weather,recent precipitation,tide,wave height,wind speed (mph),wind direction,Enterococcus modifier,Enterococcus (mpn/100mL),Ecoli modifier,Ecoli (mpn/100mL),Total Coliform modifier,Total Coliform (mpn/100mL),comments,pH,Salinity (PSU),Turbidity (NTU),Ammonia/NH3 (ppm),Nitrates/NO3 (mg/L),Nitrites/NO2 (mg/L),Nitrogen(NO3+NO2) (mg/L),Phosphate (mg/L),Dissolved Oxygen (mg/L),publication time
b6fbee32-c204-4487-97ec-7cad36c76850,624e7b16-f050-4380-8f6f-d412e376796a,Hawaii,44,Oʻahu,9/22/2024,9:52:00 AM,2024-09-22T19:52:00.000Z,Sherine,859,Magic Island Canoe Launch,21.28777,-157.844116,79,76,Partly_Cloudy,FALSE,outgoing,2-4 ft,11,E,=,20,,,,,"can see bottom sand
fish in water",,,,,,,,,,2024-09-24T05:46:19.251Z
ba30093b-b13a-4a41-8fa6-6a7d6ed8ebe9,624e7b16-f050-4380-8f6f-d412e376796a,Hawaii,44,Oʻahu,9/8/2024,9:00:00 AM,2024-09-08T19:00:00.000Z,Greg Young,859,Magic Island Canoe Launch,21.28777,-157.844116,80,79,,FALSE,outgoing,<1 ft,10,NE,=,20,,,,,,,,,,,,,,,2024-09-10T08:17:24.616Z
77a3c6f3-5e90-4cb4-9cbb-bb2b72732d3d,717504ff-6cc2-4106-a2da-7f3d3ed6a4c5,Hawaii,44,Oʻahu,8/25/2024,9:00:00 AM,2024-08-25T19:00:00.000Z,Greg Young,859,Magic Island Canoe Launch,21.28777,-157.844116,79,75,Heavy_Rain,TRUE,incoming,1-2 ft,30,NE,=,292,,,,,Hurricane Hone is blowing through,,,,,,,,,,2024-08-27T20:28:00.917Z
14e85917-3c5f-4fd0-96ac-52e3d796027c,717504ff-6cc2-4106-a2da-7f3d3ed6a4c5,Hawaii,44,Oʻahu,8/11/2024,9:00:00 AM,2024-08-11T19:00:00.000Z,Gwen Young,859,Magic Island Canoe Launch,21.28777,-157.844116,79,78,Partly_Cloudy,FALSE,incoming,<1 ft,15,NE,=,20,,,,,,,,,,,,,,,2024-08-13T03:20:15.768Z
1c46ce77-730d-4eea-9d3e-e32428347c01,624e7b16-f050-4380-8f6f-d412e376796a,Hawaii,44,Oʻahu,7/28/2024,9:42:00 AM,2024-07-28T19:42:00.000Z,Sherine,859,Magic Island Canoe Launch,21.28777,-157.844116,79,76,Partly_Cloudy,TRUE,incoming,1-2 ft,17,E,=,10,,,,,"some fish in water, paddlers launching canoes",,,,,,,,,,2024-07-30T04:57:30.220Z
cf13d2d5-834c-4c17-9e8f-b66110e88cd1,624e7b16-f050-4380-8f6f-d412e376796a,Hawaii,44,Oʻahu,7/14/2024,9:00:00 AM,2024-07-14T19:00:00.000Z,Greg Young,859,Magic Island Canoe Launch,21.28777,-157.844116,78,77,Partly_Cloudy,TRUE,incoming,,15,NE,=,51,,,,,,,,,,,,,,,2024-07-16T08:47:00.865Z
73ece406-823e-4cf0-b374-5bf4f0db0347,624e7b16-f050-4380-8f6f-d412e376796a,Hawaii,44,Oʻahu,6/30/2024,9:00:00 AM,2024-06-30T19:00:00.000Z,Greg Young,859,Magic Island Canoe Launch,21.28777,-157.844116,79,76,Partly_Cloudy,FALSE,incoming,<1 ft,5,NE,=,31,,,,,,,,,,,,,,,2024-07-02T08:51:57.582Z
3fb65975-9d68-479f-9a29-55d28a251c52,717504ff-6cc2-4106-a2da-7f3d3ed6a4c5,Hawaii,44,Oʻahu,6/16/2024,9:00:00 AM,2024-06-16T19:00:00.000Z,Greg Young,859,Magic Island Canoe Launch,21.28777,-157.844116,78,75,Partly_Cloudy,FALSE,incoming,<1 ft,15,NE,=,10,,,,,,,,,,,,,,,2024-06-18T03:48:32.149Z
b93b6a0e-7716-40c4-adeb-b3d747a17176,624e7b16-f050-4380-8f6f-d412e376796a,Hawaii,44,Oʻahu,6/2/2024,8:20:00 AM,2024-06-02T18:20:00.000Z,Dylan Whitmore,859,Magic Island Canoe Launch,21.28777,-157.844116,79,76,Partly_Cloudy,TRUE,incoming,<1 ft,7,NE,=,41,,,,,,,,,,,,,,,2024-06-04T08:55:43.779Z
510e2c2c-6cee-46ff-a280-f5a468a62cd9,717504ff-6cc2-4106-a2da-7f3d3ed6a4c5,Hawaii,44,Oʻahu,5/19/2024,9:00:00 AM,2024-05-19T19:00:00.000Z,Greg Young,859,Magic Island Canoe Launch,21.28777,-157.844116,77,75,Light_Rain,TRUE,incoming,<1 ft,10,NE,=,6131,,,,,Brown water.  Lots of debris.,,,,,,,,,,2024-05-21T03:48:58.191Z
ca0c2167-3b0a-49d2-bef5-c20dd760e287,717504ff-6cc2-4106-a2da-7f3d3ed6a4c5,Hawaii,44,Oʻahu,5/5/2024,9:00:00 AM,2024-05-05T19:00:00.000Z,Greg Young,859,Magic Island Canoe Launch,21.28777,-157.844116,76,73,Partly_Cloudy,TRUE,incoming,1-2 ft,25,NE,=,605,,,,,,,,,,,,,,,2024-05-07T03:54:30.067Z
77bb9fbd-d5f4-4308-acb5-3da84660f90e,624e7b16-f050-4380-8f6f-d412e376796a,Hawaii,44,Oʻahu,4/21/2024,9:00:00 AM,2024-04-21T19:00:00.000Z,Greg Young,859,Magic Island Canoe Launch,21.28777,-157.844116,76,73,Partly_Cloudy,TRUE,incoming,<1 ft,10,NE,=,70,,,,,,,,,,,,,,,2024-04-23T08:40:17.165Z
7712ff56-6a4f-4ff1-9e2d-9335900ec42a,624e7b16-f050-4380-8f6f-d412e376796a,Hawaii,44,Oʻahu,3/24/2024,9:00:00 AM,2024-03-24T19:00:00.000Z,Greg Young,859,Magic Island Canoe Launch,21.28777,-157.844116,75,72,Partly_Cloudy,TRUE,outgoing,<1 ft,15,NE,=,10,,,,,,,,,,,,,,,2024-03-26T08:31:01.187Z
a5c747a3-bf6f-473e-93ea-f9fe3254d8ab,624e7b16-f050-4380-8f6f-d412e376796a,Hawaii,44,Oʻahu,3/10/2024,9:00:00 AM,2024-03-10T19:00:00.000Z,Greg Young,859,Magic Island Canoe Launch,21.28777,-157.844116,75,72,Partly_Cloudy,TRUE,outgoing,<1 ft,20,NE,=,122,,,,,,,,,,,,,,,2024-03-12T10:02:59.329Z
1cc25714-c0bf-462d-947a-bbde8352e3a9,624e7b16-f050-4380-8f6f-d412e376796a,Hawaii,44,Oʻahu,2/25/2024,9:00:00 AM,2024-02-25T19:00:00.000Z,Greg Young,859,Magic Island Canoe Launch,21.28777,-157.844116,,72,Partly_Cloudy,TRUE,outgoing,1-2 ft,20,NE,=,323,,,,,,,,,,,,,,,2024-02-27T09:18:14.418Z
703c7f13-d024-4795-8ae1-f951e75db9f1,717504ff-6cc2-4106-a2da-7f3d3ed6a4c5,Hawaii,44,Oʻahu,1/28/2024,9:00:00 AM,2024-01-28T19:00:00.000Z,Greg Young,859,Magic Island Canoe Launch,21.28777,-157.844116,76,75,Overcast,FALSE,outgoing,<1 ft,15,SW,=,63,,,,,,,,,,,,,,,2024-01-30T07:22:57.564Z
