"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2021/01/01","00:00","2.956","2.408","1.808","1.168","1.144","0.479","0.25","0.01","0"
"2021/02/01","00:00","2.858","2.316","1.864","1.201","1.194","0.525","0.387","0.056","0"
"2021/03/01","00:00","2.412","2.057","1.723","1.073","1.07","0.417","0.302","0.01","0"
"2021/04/01","00:00","2.628","2.044","1.624","0.978","0.965","0.305","0.138","-0.256","0"
"2021/05/01","00:00","2.684","2.152","1.605","0.965","0.937","0.269","0.082","-0.351","0"
"2021/06/01","00:00","2.832","2.244","1.647","1.053","1.021","0.394","0.161","-0.187","0"
"2021/07/01","00:00","2.743","2.169","1.608","0.984","0.961","0.315","0.086","-0.21","0"
"2021/08/01","00:00","2.894","2.336","1.854","1.211","1.194","0.535","0.384","0.204","0"
"2021/09/01","00:00","2.52","2.106","1.746","1.119","1.114","0.482","0.397","0.19","0"
"2021/10/01","00:00","2.241","2.051","1.634","1.03","1.016","0.397","0.266","0.01","0"
"2021/11/01","00:00","2.773","2.192","1.673","1.034","1.004","0.338","0.154","-0.121","0"
"2021/12/01","00:00","3.225","2.29","1.657","1.05","1.017","0.377","0.102","-0.108","0"
"2022/01/01","00:00","2.963","2.221","1.585","0.961","0.93","0.276","0.095","-0.174","0"
"2022/02/01","00:00","2.69","2.028","1.562","0.968","0.939","0.315","0.187","-0.088","0"
"2022/03/01","00:00","2.33","1.831","1.503","0.873","0.865","0.227","0.148","-0.039","0"
"2022/04/01","00:00","2.307","1.89","1.568","0.922","0.927","0.286","0.135","-0.164","0"
"2022/05/01","00:00","2.51","2.018","1.536","0.929","0.927","0.318","0.135","-0.203","0"
"2022/06/01","00:00","2.553","1.988","1.46","0.853","0.834","0.207","0.03","-0.38","0"
"2022/07/01","00:00","2.648","1.995","1.477","0.883","0.85","0.223","0.076","-0.226","0"
"2022/08/01","00:00","2.592","2.018","1.611","1.014","1.006","0.4","0.302","-0.052","0"
"2022/09/01","00:00","2.723","2.166","1.831","1.155","1.155","0.479","0.397","0.197","0"
"2022/10/01","00:00","2.684","2.267","1.857","1.168","1.173","0.489","0.355","0.072","0"
"2022/11/01","00:00","2.54","2.097","1.591","0.939","0.929","0.266","0.082","-0.229","0"
"2022/12/01","00:00","2.838","2.116","1.555","0.939","0.914","0.273","0.056","-0.259","0"
"2023/01/01","00:00","2.763","2.034","1.496","0.889","0.858","0.22","0.04","-0.236","0"
"2023/02/01","00:00","2.336","1.841","1.404","0.791","0.773","0.141","0.017","-0.21","0"
"2023/03/01","00:00","2.106","1.749","1.421","0.771","0.788","0.154","0.079","-0.144","0"
"2023/04/01","00:00","2.172","1.719","1.326","0.745","0.73","0.135","-0.01","-0.2","0"
"2023/05/01","00:00","2.316","1.9","1.372","0.748","0.729","0.086","-0.108","-0.311","0"
"2023/06/01","00:00","2.336","1.919","1.322","0.683","0.656","-0.013","-0.246","-0.515","0"
"2023/07/01","00:00","2.881","2.29","1.693","1.08","1.042","0.391","0.171","-0.328","0"
"2023/08/01","00:00","2.973","2.517","1.985","1.293","1.27","0.558","0.384","0.086","0"
"2023/09/01","00:00","2.841","2.267","1.9","1.227","1.219","0.538","0.423","0.095","0"
"2023/10/01","00:00","2.907","2.408","1.923","1.29","1.268","0.614","0.466","0.164","0"
"2023/11/01","00:00","2.845","2.418","1.801","1.188","1.155","0.509","0.328","-0.039","0"
"2023/12/01","00:00","2.782","2.241","1.627","1.017","0.983","0.338","0.145","-0.072","0"
"2024/01/01","00:00","2.861","2.228","1.647","1.04","1.009","0.371","0.194","-0.193","0"
"2024/02/01","00:00","2.681","1.992","1.562","0.922","0.901","0.24","0.105","-0.088","0"
"2024/03/01","00:00","2.389","1.903","1.582","0.929","0.934","0.286","0.171","-0.085","0"
"2024/04/01","00:00","2.376","1.979","1.575","0.939","0.929","0.282","0.151","-0.174","0"
"2024/05/01","00:00","2.7","2.152","1.608","1.024","0.991","0.374","0.174","-0.105","0"
"2024/06/01","00:00","2.736","2.234","1.65","1.083","1.05","0.45","0.233","0.059","0"
"2024/07/01","00:00","3.137","2.549","1.942","1.339","1.294","0.647","0.453","0.131","0"
"2024/08/01","00:00","3.051","2.638","2.116","1.467","1.434","0.752","0.604","0.309","0"
